vgs,id
0.508003,5.66021e-06
0.507999,5.65958e-06
0.507994,5.65902e-06
0.50799,5.65841e-06
0.507986,5.65783e-06
0.507982,5.65721e-06
0.507978,5.6566e-06
0.507974,5.65602e-06
0.50797,5.65542e-06
0.507965,5.65483e-06
0.507961,5.65425e-06
0.507957,5.65361e-06
0.507953,5.653e-06
0.507949,5.65242e-06
0.507945,5.65183e-06
0.50794,5.65123e-06
0.507936,5.65062e-06
0.507932,5.65002e-06
0.507928,5.64944e-06
0.507924,5.64884e-06
0.50792,5.64825e-06
0.507916,5.64764e-06
0.507911,5.64704e-06
0.507907,5.64646e-06
0.507903,5.64584e-06
0.507899,5.64526e-06
0.507895,5.64467e-06
0.507891,5.64406e-06
0.507887,5.64348e-06
0.507882,5.64287e-06
0.507878,5.64226e-06
0.507874,5.64168e-06
0.50787,5.64108e-06
0.507866,5.64049e-06
0.507862,5.6399e-06
0.507858,5.63932e-06
0.507853,5.63871e-06
0.507849,5.63811e-06
0.507845,5.63752e-06
0.507841,5.63689e-06
0.507837,5.63631e-06
0.507833,5.63573e-06
0.507829,5.63514e-06
0.507824,5.63453e-06
0.50782,5.63395e-06
0.507816,5.63336e-06
0.507812,5.63275e-06
0.507808,5.63215e-06
0.507804,5.63156e-06
0.5078,5.63099e-06
0.507796,5.63038e-06
0.507791,5.62979e-06
0.507787,5.6292e-06
0.507783,5.6286e-06
0.507779,5.62802e-06
0.507775,5.62743e-06
0.507771,5.62682e-06
0.507767,5.62622e-06
0.507762,5.62564e-06
0.507758,5.62505e-06
0.507754,5.62445e-06
0.50775,5.62386e-06
0.507746,5.62328e-06
0.507742,5.62269e-06
0.507738,5.62211e-06
0.507734,5.6215e-06
0.507729,5.6209e-06
0.507725,5.62032e-06
0.507721,5.61974e-06
0.507717,5.61915e-06
0.507713,5.61852e-06
0.507709,5.61795e-06
0.507705,5.61737e-06
0.507701,5.61676e-06
0.507696,5.61619e-06
0.507692,5.61558e-06
0.507688,5.61499e-06
0.507684,5.61441e-06
0.50768,5.61381e-06
0.507676,5.61325e-06
0.507672,5.61262e-06
0.507668,5.61203e-06
0.507663,5.61146e-06
0.507659,5.61087e-06
0.507655,5.61028e-06
0.507651,5.60971e-06
0.507647,5.6091e-06
0.507643,5.60851e-06
0.507639,5.60791e-06
0.507635,5.60733e-06
0.507631,5.60674e-06
0.507626,5.60617e-06
0.507622,5.60556e-06
0.507618,5.60498e-06
0.507614,5.60439e-06
0.50761,5.6038e-06
0.507606,5.6032e-06
0.507602,5.60262e-06
0.507598,5.60203e-06
0.507594,5.60146e-06
0.507589,5.60087e-06
0.507585,5.60029e-06
0.507581,5.59968e-06
0.507577,5.59911e-06
0.507573,5.59853e-06
0.507569,5.59792e-06
0.507565,5.59736e-06
0.507561,5.59675e-06
0.507557,5.59617e-06
0.507552,5.59558e-06
0.507548,5.59499e-06
0.507544,5.59442e-06
0.50754,5.59385e-06
0.507536,5.59324e-06
0.507532,5.59266e-06
0.507528,5.59207e-06
0.507524,5.5915e-06
0.50752,5.59092e-06
0.507515,5.5903e-06
0.507511,5.58972e-06
0.507507,5.58914e-06
0.507503,5.58857e-06
0.507499,5.58798e-06
0.507495,5.58738e-06
0.507491,5.58682e-06
0.507487,5.58622e-06
0.507483,5.58564e-06
0.507479,5.58506e-06
0.507474,5.58447e-06
0.50747,5.58389e-06
0.507466,5.58331e-06
0.507462,5.58272e-06
0.507458,5.58215e-06
0.507454,5.58156e-06
0.50745,5.58096e-06
0.507446,5.58038e-06
0.507442,5.57982e-06
