t_s,GR07_c,GR06_c
135.356,,20.122
135.444,19.872,
135.495,,20.124
135.597,19.878,
135.634,,20.102
135.75,19.874,
135.773,,20.12
135.903,19.866,
135.912,,20.172
136.051,,20.115
136.056,19.871,
136.19,,20.002
136.209,19.871,
136.329,,20.166
136.362,19.873,
136.468,,20.096
136.515,19.881,
136.607,,20.006
136.668,19.876,
136.746,,19.973
136.821,19.88,
136.885,,19.972
136.974,19.872,
137.024,,20.004
137.127,19.866,
137.163,,20.066
137.28,19.868,
137.302,,20.26
137.433,19.872,
137.441,,20.113
137.58,,19.97
137.586,19.874,
137.719,,19.902
137.739,19.862,
137.858,,20.041
137.892,19.875,
137.997,,19.962
138.045,19.877,
138.136,,20.02
138.198,19.877,
138.275,,19.966
138.351,19.87,
138.414,,19.819
138.504,19.865,
138.553,,19.727
138.657,19.873,
140.238,19.869,
140.391,19.87,
140.48,,19.94
140.544,19.873,
140.619,,20.066
140.697,19.872,
140.758,,20.077
140.85,19.865,
140.897,,19.903
141.003,19.876,
141.036,,19.908
141.156,19.872,
141.175,,19.935
141.309,19.87,
141.314,,20.06
141.453,,20.1
141.462,19.866,
141.592,,20.076
141.615,19.87,
141.731,,20.219
141.768,19.872,
141.87,,20.189
141.921,19.865,
142.009,,20.315
142.074,19.867,
142.148,,20.24
142.227,19.868,
142.287,,20.105
142.38,19.861,
142.426,,20.166
142.533,19.868,
142.565,,20.318
142.686,19.87,
142.704,,20.275
142.839,19.86,
142.843,,19.925
142.982,,20.017
142.992,19.875,
143.121,,20.045
143.145,19.873,
143.26,,20.109
143.298,19.879,
143.399,,20.108
143.451,19.872,
143.538,,20.027
143.604,19.871,
143.677,,20.057
143.757,19.86,
143.816,,20.042
143.91,19.869,
143.955,,19.936
144.063,19.867,
144.216,19.866,
145.585,19.871,
145.67,,19.999
145.738,19.874,
145.809,,20.028
145.891,19.873,
145.948,,19.93
146.044,19.875,
146.087,,20.059
146.197,19.873,
146.226,,20.146
146.35,19.876,
146.365,,19.986
146.503,19.879,
146.504,,19.955
146.643,,19.767
146.656,19.872,
146.782,,19.61
146.809,19.865,
146.921,,19.845
146.962,19.872,
147.06,,19.992
147.115,19.864,
147.199,,20.022
147.268,19.872,
147.338,,20.101
147.421,19.865,
147.477,,20.044
147.574,19.875,
147.616,,20.127
147.727,19.869,
147.755,,20.135
147.88,19.869,
147.894,,20.001
148.033,19.867,19.929
148.172,,20.005
148.186,19.872,
148.311,,19.977
148.339,19.87,
148.45,,20.022
148.492,19.873,
148.589,,20.074
148.645,19.87,
148.728,,19.951
148.798,19.874,
148.867,,20.101
148.951,19.876,
149.006,,20.032
149.104,19.871,
149.145,,20.037
149.257,19.874,
149.284,,20.249
149.41,19.872,
151.09,19.879,
151.243,19.877,
151.31,,20.039
151.396,19.874,
151.449,,20.125
151.549,19.88,
151.588,,20.009
151.702,19.873,
151.727,,20.085
151.855,19.88,
151.866,,20.129
152.005,,20.178
152.008,19.869,
152.144,,20.231
152.161,19.876,
152.283,,20.212
152.314,19.879,
152.422,,20.103
152.467,19.879,
152.561,,20.132
152.62,19.89,
152.7,,20.208
152.773,19.879,
152.839,,20.251
152.926,19.879,
152.978,,20.301
153.079,19.884,
153.117,,20.064
153.232,19.886,
153.256,,20.091
153.385,19.878,
153.395,,20.079
153.534,,19.963
153.538,19.878,
